Articulo,Descripcion de articulo,Precio de venta
124447,Kiyakis Nvo Pc 1p 150g FLOW BAR,645.32
6444,Karameladas 1p 260g FLOW BAR,583.04
124381,Chips Fuego 1p 42g FLOW BAR,415.5
514491,Takis Original 1p 94g PC FLOW BAR,531.65
515101,Takis Cobra 70g 1p FLOW BAR,490.0
124382,Chips Jalapeno 1p 42g FLOW BAR,415.5
515108,Runners Fuego 1p 280 PC FLOW BAR,473.76
514496,Takis Huakamole PC 1p 240g FLOW BAR,473.76
128423,Big Mix Inglesa Limon 1p 185g FLOW BAR,318.9
42126,Runners 1p 200g FLOW BAR,759.25
9745,Big Mix Queso 1p 200g FLOW BAR,341.7
126134,Golden Nuts Japones Nvo 1p 78g FLOW BAR,860.8
6012,Chips Sal 1p 100g FLOW BAR,607.4
126554,Takis Original PC 1p 200g FLOW BAR#,586.8
128028,Chips Sal PC 1p 55g FLOW BAR,683.28
126488,Chipotles 1p 200g PC FLOW BAR,382.68
127554,Papas Barcel Adobadas NC PC 1p 170g BOLSA BAR,329.2
514479,Takis Blue Heat 1p 390g FLOW BAR,607.4
515060,ChipsToqueMaestroParmesano 1p 140gPC FLOW BAR,564.84
126800,Chips Habanero PC 1p 150g BOLSA BAR,501.12
515061,Chips Toque Maestro SalPim 1p 140gPC FLOW BAR,564.84
126802,Chips Habanero PC 1p 160g BOLSA BAR,501.12
